,S1,S2,Pvalue
0,M,AG,0.0387344252780884
1,FG,RB,0.044672604391376436
2,FG,ZN,0.01057743913455195
3,CU,SF,0.010265454731544884
4,NI,PP,0.02447734187790162
5,NI,L,0.028088354907088157
6,RM,AG,0.022726116098434154
7,OI,I,0.017838541333339793
8,OI,V,0.00882544266687371
9,OI,JM,0.01558020895674525
10,OI,L,0.04111893932085191
11,HC,PB,0.028858718989293656
12,HC,ZN,0.006569914246562764
13,J,PB,0.008268136009586676
14,J,TC,0.04315379664698915
15,J,ZN,0.0014320171987709301
16,I,RU,0.04378014305132477
17,TA,PB,0.03578589182389516
18,TA,RB,0.015570940107490612
19,TA,MA,6.591491237573388e-06
20,TA,ZN,0.02000222551687418
21,TA,BU,0.04350093619765558
22,TA,PP,0.001231931147936276
23,TA,RU,0.028486581987839182
24,TA,AL,0.03805302947871696
25,TA,L,0.002110412307207755
26,PB,RB,0.012523867990651756
27,PB,JM,0.0048359676508112045
28,RB,ZN,4.614845578341743e-05
29,RB,SF,0.04707476400937134
30,V,JM,0.006648219307815803
31,TC,ZN,0.042567027415432876
32,SF,AL,0.015378964572032212
